user_index,username,Unnamed: 0,timestamp,http_method,url,api_endpoint,header,data,request_body_size,response_body_size,originial_status,revised_status,execution_time,user_type,data_type,data_valid,seq_valid
0,unlogged_in_user,0,2025-03-06 02:34:50,GET,http://111.229.33.190:8000/admin/login/?next=/admin/info/course/add/,/admin/info/course/add/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'}",,2,4178,200,403,22.567,1,1,True,True
0,unlogged_in_user,1,2025-03-06 02:34:51,GET,http://111.229.33.190:8000/admin/login/?next=/admin/info/student/USNB/change/%3F_changelist_filters%3Dq%253DUSN,/admin/info/student/USNB/change/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'}",,2,4258,200,403,22.796,1,1,True,True
0,unlogged_in_user,2,2025-03-06 02:34:51,GET,http://111.229.33.190:8000/admin/login/?next=/admin/info/assign/add/,/admin/info/assign/add/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'}",,2,4178,200,403,21.082,1,1,True,True
0,unlogged_in_user,3,2025-03-06 02:34:51,GET,http://111.229.33.190:8000/admin/login/?next=/admin/info/class/CS3A/change/,/admin/info/class/CS3A/change/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'}",,2,4192,200,403,22.297,1,1,True,True
0,unlogged_in_user,4,2025-03-06 02:34:51,GET,http://111.229.33.190:8000/admin/login/?next=/admin/info/user/81/change/%3F_to_field%3Did,/admin/info/user/81/change/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'}",,2,4216,200,403,21.407,1,1,True,True
0,unlogged_in_user,5,2025-03-06 02:34:51,GET,http://111.229.33.190:8000/accounts/login/?next=/info/teacher/65/Students/attendance/,/info/teacher/65/Students/attendance/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'}",,2,2005,200,403,20.205000000000002,1,1,True,True
0,unlogged_in_user,6,2025-03-06 02:34:51,GET,http://111.229.33.190:8000/accounts/login/?next=/info/teacher/233/marks_entry/,/info/teacher/233/marks_entry/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'}",,2,2005,200,403,20.743000000000002,1,1,True,True
0,unlogged_in_user,7,2025-03-06 02:34:51,POST,http://111.229.33.190:8000/info/teacher/46/Extra_class/confirm/,/info/teacher/46/Extra_class/confirm/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '149', 'Content-Type': 'application/json'}","{'csrfmiddlewaretoken': 'eu5iv9VtqA1jjcsU0uZ79hwiSeoyKEc8kMAbLckCqxUQ6IJeeBZX8aTsOjXTEJj0', 'date': '2025-01-21', 'USNF': 'absent', 'USNJ': 'absent'}",149,2855,403,403,11.42,1,1,True,True
0,unlogged_in_user,8,2025-03-06 02:34:51,POST,http://111.229.33.190:8000/admin/info/dept/add/,/admin/info/dept/add/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '423', 'Content-Type': 'application/json'}","{'csrfmiddlewaretoken': 'JmmaFwPZ9qm3tB1upeaD980dyF0J9Dv5Gxcl0jwT6gwqqf8fxyBg5eIUdRoRUN6H', 'id': 'deptId', 'name': None, 'class_set-TOTAL_FORMS': None, 'class_set-INITIAL_FORMS': None, 'class_set-MIN_NUM_FORMS': '0', 'class_set-MAX_NUM_FORMS': None, 'class_set-__prefix__-dept': '', 'class_set-__prefix__-id': '', 'class_set-__prefix__-section': '', 'class_set-__prefix__-sem': '', '_addanother': None}",423,2855,403,403,11.331000000000001,1,1,True,True
0,unlogged_in_user,9,2025-03-06 02:34:51,POST,http://111.229.33.190:8000/admin/info/course/add/,/admin/info/course/add/,"{'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '181', 'Content-Type': 'application/json'}","{'csrfmiddlewaretoken': 'J2PYHX9WzfNSPfokyl12KQlkXgzDiTXhoxoBBlKrPZDPFG3nX7yNmgyzwVIOdmkQ', 'dept': 'BS', 'id': 'BS315', 'name': 'Behavioral Economics', 'shortname': 'MB', '_addanother': 'Save and add another'}",181,2855,403,403,11.426,1,1,True,True
